Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,.1uF,C_0805_2012Metric,-149.75,-77.99,-90,bottom
C4,.1uF,C_0805_2012Metric,-145.65,-77.99,-90,bottom
C5,10uF,C_0805_2012Metric,-147.71,-77.99,-90,bottom
C6,1uF,C_0805_2012Metric,-139.49,-77.96,90,bottom
C7,22pf,C_0805_2012Metric,-154.12,-88.25,180,bottom
C8,22pf,C_0805_2012Metric,-154.11,-81.48,0,bottom
C101,.1uF,C_0805_2012Metric,-151.79,-77.99,-90,bottom
D101,BAV70,SOT-23,-57.564099,-58.330796,-98,bottom
D102,BAV70,SOT-23,-93.934099,-63.470796,-98,bottom
D103,BAV70,SOT-23,-131.654099,-68.780796,-98,bottom
D104,BAV70,SOT-23,-187.764099,-64.800796,-82,bottom
D105,BAV70,SOT-23,-225.494099,-59.500796,-82,bottom
D106,BAV70,SOT-23,-56.874099,-62.920796,82,bottom
D107,BAV70,SOT-23,-99.224099,-69.970796,82,bottom
D108,BAV70,SOT-23,-160.42,-74.01,98,bottom
D109,BAV70,SOT-23,-193.283272,-69.791064,98,bottom
D110,BAV70,SOT-23,-230.994099,-64.500796,98,bottom
D111,BAV70,SOT-23,-138.434099,-106.430796,-90,bottom
D112,BAV70,SOT-23,-142.034099,-106.440796,-90,bottom
D113,BAV70,SOT-23,-149.27,-106.43,-90,bottom
D114,BAV70,SOT-23,-152.9,-106.44,-90,bottom
D115,BAV70,SOT-23,-142.03,-110.29,0,bottom
D116,BAV70,SOT-23,-145.63,-113.39,90,bottom
D117,BAV70,SOT-23,-149.27,-110.29,180,bottom
D118,BAV70,SOT-23,-145.644099,-105.430796,-90,bottom
F101,Polyfuse,Fuse_1206_3216Metric,-151.034099,-63.500796,-90,bottom
L101,600R@100MHz,L_0603_1608Metric,-140.474099,-60.860796,90,bottom
R2,22,R_0805_2012Metric,-141.51,-77.95,90,bottom
R3,22,R_0805_2012Metric,-143.48,-77.97,90,bottom
R4,10k,R_0805_2012Metric,-150.974099,-73.660796,90,bottom
R5,10k,R_0805_2012Metric,-153.58,-93.65,0,bottom
R101,5.1k,R_0805_2012Metric,-141.354099,-63.370796,0,bottom
R102,5.1k,R_0805_2012Metric,-148.814099,-63.460796,-90,bottom
SW1,SW_Push,SW_SPST_TL3342,-145.644099,-72.330796,0,bottom
U1,ATmega32U2-AU,TQFP-32_7x7mm_P0.8mm,-145.624099,-86.330796,180,bottom
U102,SRV05-4,SOT-23-6,-145.704099,-63.470796,180,bottom
USB101,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,-145.604099,-50.970796,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-154.114099,-85.000796,-90,bottom
